1648427281259,1234,1648427281000,37.297295,-122.206578,553.1,12.6,173,11.42,35250,42,1,0
1648427336636,1234,1648427334000,37.294731,-122.209127,511.3,8,245,14.72,35613,42,1,0
1648427390657,1234,1648427390000,37.290769,-122.210863,560.5,13.6,208,13.95,36080,42,1,0
1648427429439,1234,1648427429000,37.288715,-122.214509,459.2,20.5,270,12.08,36475,42,1,0
1648427482856,1234,1648427482000,37.287121,-122.219084,385.7,10.1,240,6.73,36917,42,1,0
1648427538479,1234,1648427538000,37.284949,-122.2209,378.1,15.5,161,5,37207,42,1,0
1648427587937,1234,1648427587000,37.283122,-122.221352,343.3,5.6,231,4.8,37414,42,1,0
1648427630325,1234,1648427629000,37.28194,-122.22248,322,4.9,207,3.13,37579,42,1,0
1648427684140,1234,1648427683000,37.280403,-122.223502,310,7.3,184,3.39,37772,42,1,0
1648427738053,1234,1648427736000,37.277906,-122.223812,307.2,6.4,220,7.82,38051,42,1,0
1648427812748,1234,1648427788000,37.276122,-122.224215,278.5,6.4,149,1.63,38253,42,1,0
1648427858114,1234,1648427833000,37.276135,-122.224346,320.1,7.1,193,1.1,38264,42,1,0
1648427912181,1234,1648427889000,37.276097,-122.224205,275.3,19.7,222,0.27,38278,42,1,0
1648428055214,1234,1648428039000,37.276181,-122.224187,271.9,9.6,0,0,38292,42,1,0
1648428059508,1234,1648427994000,37.276177,-122.224224,272.4,10.1,0,0,38289,42,1,0
1648428071159,1234,1648427942000,37.276168,-122.224189,273.5,7.3,0,0,38286,42,1,0
1648428128497,1234,1648428092000,37.27613,-122.224216,274.8,4.1,0,0,38298,42,1,0
1648428146597,1234,1648428145000,37.276024,-122.224299,275.5,8.6,0,0,38312,42,1,0
1648428201017,1234,1648428199000,37.275769,-122.224405,271.5,7.7,0,0,38342,42,1,0
1648431650843,1234,1648429152000,37.269448,-122.231911,171.7,12.2,226,0.93,39482,42,1,0
1648431652343,1234,1648429208000,37.268642,-122.23185,215.5,13.9,190,0.58,39572,42,1,0
